biotipológico	tipológico
peregrinar	viandar
arrenego	renunciação
alibilidade	assimilabilidade
indistinção	permistão
desencarregar-se	desincumbir-se
apoderado	apossado
suplício	tortura
rubim	rubi
alívio	minoração
atrasar-se	deter-se
choquento	indisposto
rigoroso	severo
enodoado	infamado
brevidade	efemeridade
encorajamento	estimulação
recantar	retratar-se
abrutalhado	rude
baixel	bisco
espesso	nubiloso
pretejar	negrejar
dirupção	rotura
predito	prognosticado
auditório	platéia
arrelioso	rusguento
absenteísmo	abstencionismo
aglutinamento	conglutinação
copilatório	compilatório
estabelecer	indicar
desterrar	mandar
fuzilação	rutilância
respeitado	temido
difusor	difundidor
reclamação	voz
avigorar-se	vitalizar-se
complicar-se	embretar-se
tremelear	tremer
galpão	telheiro
algeroz	calha
cerimoniosamente	gravemente
correnteza	curso
inédito	novo
tacanharia	tacanheza
esparrela	trapaça
motejador	sarcástico
empancar	pejar
genetriz	genitora
atabaque	curimbó
bombeiro	espião
esfarrapamento	rasgamento
vozear	vozeirar
descongestionar	desinflar
atritado	mortificado
lentescer	regar
driblar	fintar
cedência	cessão
decompor	putrificar
reestampar	republicar
reincorporar	reintegrar
tacanheza	tacanhice
fraternal	fraterno
beberrote	cachaceiro
engripado	gripado
capotar	emborcar
esquadria	suta
hinterlândia	interior
punidor	castigador
plumacho	plumaço
resvalo	resvaladura
interceptador	interceptor
caguira	caiporismo
contribuição	encargo
albor	arraiada
expeditivo	lesto
migalho	tico
umectante	umectativo
acinturado	cinturado
revidar	rezingar
gotear	transudar
aceria	aciaria
gestor	superintendente
difidente	cismado
sevandija	zângão
coberta	ensombro
equivalência	eqüivalência
injuntivo	obrigatório
imperceptível	insensível
postimária	termo
encabeçamento	prefácio
flórido	florido
assoberbar-se	desvanecer-se
séqüito	cortejo
metade	cara-metade
vagabundo	vagamundo
barqueta	barquinha
fulano	zé-dos-anzóis
doca	zerê
tijuqueira	tujuco
assetar	detrair
viciação	viciamento
juiz	julgador
afeminar	feminizar
eficaz	seguro
avantajar	pespontar
ameninar	renascer
exaustante	extenuativo
ultrajante	ultrajoso
virginal	virgíneo
atratividade	charme
abanado	atiçado
amoriscar-se	apassionar-se
engrandecido	galardoado
abreviar	precipitar
incorpóreo	incorporal
espinho	ferrão
aprazer	deliciar
pasmado	tolo
respingar	retorquir
escorrer	exsudar
sulfuretar	sulfetar
espetar	traspassar
ilídimo	ilegítimo
serralho	harém
exacerbar	exasperar
ventar	ventanejar
chusma	multidão
venerar	revenerar
maometismo	muçulmanismo
molitivo	molificativo
reabilitar	redimir
comprimido	pílula
fimbriar	orlar
dactilografar	mecanografar
polvorim	polvarim
solfejar	solfar
tredécimo	trezeno
arrazoamento	asserção
mazanza	zopeiro
alapado	enlapado
batotear	mantear
argumentação	debate
propagado	vulgarizado
pepinal	pepineira
defender	vetar
destribar	desestribar
robissão	sutambaque
acertar	consertar
asseguração	garantia
corrimaca	porção
emulador	êmulo
bífido	bipartido
ruinaria	ruína
bromado	embastido
guria	menina
roca	rochedo
granjeado	angariado
rasourado	rasoirado
rebolante	saracoteante
credulidade	crendeirice
rarefato	rarefeito
wesleyanismo	metodismo
abuzinar	buzinar
quiliarco	quiliarca
ferragista	forjador
terrificar	transir
desprezar	menosprezar
fole	papo
chiste	graça
colocar	propor
conversado	entendido
colóide	coloidal
emboaba	emboava
despersonalização	impersonalização
provisorado	provisoria
embaçadeiro	embaçador
aio	escudeiro
vergasta	vergueiro
presságio	profecia
entrelaçado	trançado
mexerufada	paparrotagem
pleno	plenário
adormecido	repousado
rega-bofe	patuscada
armeiro	espadeiro
mancheia	punhado
sopetear	usufrutar
libidinosidade	sensualidade
concedido	deferido
advertimento	recado
acarioto	anucleado
escolhos	penedos
másculo	viril
deploração	lamento
desvalorizar	envilecer
vendedor	negociante
alicerçar	cimentar
morsa	torninho
tontear	transtornar
persuasivo	suasório
rueiro	arruador
fruta-pão	rima
tramontar-se	transmontar-se
conhecedor	sábio
baderneiro	badernista
beneficamente	benignamente
costeio	vaquejada
destrambelhar-se	escangalhar-se
parasitar	sugar
ampola	empola
forçar	prostrar
gasalhoso	hospitaleiro
encanecer-se	grisalhar-se
igualizar-se	uniformar-se
cálido	calmo
breviloqüente	sintetizado
irreligiosidade	niilismo
raptar	roubar
persecução	perseguição
burlante	trapaceiro
eqüivaler	somar
macerar	torturar
calúnia	mentira
contagiado	infectado
putrefeito	pútrido
ruptura	suspensão
aperceber	entabular
vistoriar	visitar
escultório	escultural
nunciante	anunciador
aturdimento	perturbação
refinação	refinamento
boatar	rumorar
farrapento	molambento
horribilidade	monstruosidade
atordoado	atrapalhado
desalinhado	mal-amanhado
desaliar	desunir
constitutivo	próprio
restilo	vinhaça
asseveração	proposição
observar	tirar
engulhado	nauseado
catalogar	catalogizar
escandalizante	escandalizador
entelhado	imbricado
advertir-se	atentar
monólito	estela
rasar	rasoirar
diteísta	diteístico
afunilar	estreitar
aclamar	saudar
narcisação	narcisamento
espécime	exemplar
voluptuoso	volutuoso
piçarra	barroco
colocar-se	pôr-se
desfortalecer	desvigorar
alargar-se	amplificar-se
obliqüidade	tergiversação
desintegração	separação
envilecer	rebaixar
fascinante	maravilhador
imensidade	oceano
baldado	inútil
leviandade	veleidade
desembruxar	desenfeitiçar
áfrico	africano
emocionalmente	emotivamente
requisitar	vindicar
cavaco	garaveto
avarento	avaro
emugrecer	enferrujar
saboeira	saboneteiro
intermeter	interpor
ajaezar	vestir
sudorífero	sudorífico
fã	adorador
bagunceiro	barulhento
precípite	precipitoso
incapacitação	inabilitação
viravoltear	viravoltar
folheação	foliação
taramelar	tramelar
alberca	aquário
melífluo	suave
pressupor	presumir
indefectível	seguro
macota	poderoso
amante	mulher
desincorporar	desmembrar
cesárea	cesariana
alvorescer	raiar
morigerar-se	polir-se
melhor	preferível
prelecionador	preletor
indenizar	remir
elétron	eletrônio
autônomo	independente
acanho	pejo
argumento	contexto
revolutear	revolver-se
revir	vogar
privacidade	intimidade
asserrilhar	serrear
acumulador	ajuntador
recalcitrância	reincidência
engoiar-se	escanifrar
sustentado	mantido
afegã	afegane
testáceo	tijolo
cerrado	unido
aforístico	aforismal
brincadeira	gozação
inexplicável	inexprimível
conexivo	copulativo
famulatício	famulatório
verde-escuro	verde-montanha
estercoreiro	estercoral
pérgula	pérgola
ceva	pastio
broslar	franjar
nazi	nazista
disputável	questionável
adelgar	empalecer
adrede	intencionalmente
prontidão	rapidez
vazio	vão
tabaque	tambaque
enfim	finalmente
algazarrar	algazarrear
aleatório	inopinado
supra-realismo	surrealismo
fruição	usufruto
recriminador	reprovativo
apajear	candongar
dactiliomântico	datiliomântico
delusor	enganador
folífero	foliífero
despedaçamento	dilaceração
rangente	rangedor
universal	mundial
aprestado	preste
calmar	contentar
desdobrar-se	escangalhar-se
entivação	entabuamento
meninil	pueril
esmurregar	socar
aritmético	arimético
fraudatório	frauduloso
coligar	relacionar
sacolejar-se	sacudir-se
limoado	limonado
cintilação	lucilação
despiedoso	imisericordioso
relações	trato
recuperatório	recuperativo
sociabilizar	socializar
barulhoso	rumoroso
acasalar	emparelhar
iluminante	iluminativo
inconfidência	indiscrição
declamativo	guindado
orifício	vão
bolar	engenhar
semiologia	semiótica
abeiramento	apropinquação
desimaginar-se	dissuadir-se
crueza	nudez
misturado	promíscuo
atributo	qualidade
mamelonado	mamelado
apelido	velacho
tagarela	tarelo
refeito	revisto
fervente	veemente
irreverencioso	irreverente
estafado	puído
preparativos	preparos
carcás	aljava
descerimonioso	sem-cerimonioso
indevidamente	inconvenientemente
similitude	vislumbre
zunzunar	zunzunir
babar-se	gostar
espreguiçadeira	espreguiçador
contrair-se	encolher-se
faccionar	insubordinar
talonado	talonário
dissimilitude	heterogeneidade
outar	peneirar
acastelamento	encastelamento
assoalhadura	assoalhamento
apresilhar	presilhar
rebenque	vergasta
baquetar	tamborilar
suciar	vagamundear
flexionar-se	vergar-se
pulular	surgir
piloteiro	prático
apetecedor	apetitoso
isômere	isômero
crítica	repreensão
deposição	destronização
entendimento	inteligência
atuação	feito
retorto	retorcido
noque	anoque
desquietar	exagitar
soante	sonante
tinha	tino
traduzir-se	transluzir-se
cumprimentos	saudações
enguiçar	zangar
empanzinamento	enfartamento
orador	perorador
originar	produzir
inundação	reponta
seroada	serão
acachoar	borbulhar
siglizar	siglar
nodulífero	noduloso
marchetar	variegar
profético	fatiloqüente
embustice	engano
esmaiar	desmaecer
mulherame	mulherio
protraível	protrátil
aprumar-se	perfilar-se
acinte	injúria
caloroso	canicular
claudicante	trêmulo
fraqueza	torpor
tempestear	toar
comunidade	irmandade
extranumerário	extranumeral
enrijecer-se	retesar-se
desrolhado	desarolhado
implícito	subentendido
partida	peça
muxirom	ponxirão
ensino	preparo
padreador	marel
desaformosear	desformosear
temperamento	gênio
ônus	pensão
desequilibrador	desequilibrante
salseira	molheira
revogativo	revogatório
estratégico	manhoso
amestrar	instituir
irretorquível	irrespondível
embalsamado	olorante
pretentado	pretextado
apito	sibilação
prestável	servível
entenebrecer-se	negrejar-se
primorar-se	requintar-se
emascular	enfraquecer
embebição	encharcamento
prejudicar	travessar
belvedere	mirante
cata	procura
praticidade	utilidade
desacoroçoamento	descoroçoamento
siderar	carnear
caracolear	volutear
contestável	litigável
endeusamento	potra
rodeio	rotação
consentido	anuído
estrebuchar	pernejar
desabastecimento	desprovimento
enfatuado	jactante
incontestabilidade	indubitabilidade
apregoar	disseminar
suavização	laxação
canastra	lombo
assombroso	estranho
solfejo	solfa
nóxio	prejudicial
cálcico	calcário
mumificante	mumificador
coquetismo	janotismo
sem-par	sem-segundo
verdoso	viçoso
irremível	irresgatável
embandeirar	nobrecer
moribundo	morrediço
irreplegível	insaturável
traquinice	travessura
lastimar-se	vagir
loba	samarra
furfúreo	furfuráceo
apiloar	bater
passareira	viveiro
biotipologia	tipologia
impolidez	malcriadez
pronto	rematado
apetrechamento	municionamento
voracidade	glutonaria
pagode	miau
avilar	profanar
rodela	rodeta
aeromodelo	planador
balroar-se	chocar-se
dilatação	extensão
abnóxio	inofensivo
parafusar	tarraxar
vila	bairro
esfarripado	esfabripado
suborno	peita
êmulo	rival
encimado	erguido
pejado	vergonhoso
capitaneado	encabeçado
dignidade	gravidade
fiadoria	fiança
criógeno	criogênico
agaturrar	segurar
corcovear	pinotear
pressuposição	pressuposto
governar	tronejar
ginetear	pinotear
galhardo	garboso
monógamo	unígamo
desenrugar	deslisar
recompensador	remunerador
contabilização	escrituração
desfalcar	diminuir
apossear-se	assaltear
lesbiana	mulher-macho
asperíssimo	aspérrimo
reconstituição	restauração
lustro	verniz
indigesto	encruado
perguntar	procurar
delituoso	delitoso
desesperativo	desesperante
remoer-se	tiranizar-se
pelágio	pelágico
zavar	morder
retorquir	retrucar
braçal	corporal
ulcerar	viciar
clareado	desencardido
abominar	maldiçoar
extenuar-se	quebrantar-se
amargamente	duramente
acume	máximo
bloqueador	bloqueante
canibal	canibalesco
cantor	vocalista
redatilografar	redactilografar
desbastecer	madurecer
covardia	poltronaria
impassível	inalterável
arreata	reata
capacitar	encabeçar
historiógrafo	hotoricista
bandarrilhar	farpar
esposado	maridado
calão	gíria
propulsivo	propulsor
asnal	beócio
odorar	transmitir
desdouro	desonra
renteador	requebrador
trigêmino	tríplice
intactilidade	intangibilidade
azo	ocasião
retardante	retardador
esperneio	estrebuchamento
alfeire	chiqueiro
desaparafusamento	desatarraxamento
zoologista	zoólogo
alanhado	opresso
enriquecer	opulentar
tatilidade	tactilidade
otomano	turco
ermita	ermitão
fronteiro	limítrofe
encovar	subterrar
jurar	maldiçoar
vestição	entraje
tardígrado	lentígrado
brincador	brincalhão
enforcar-se	esgoelar-se
nenê	neném
estonteamento	perturbação
pimenta	sensualismo
desagaloar	macular
embridar	reprimir
desenvolvido	espigado
sumição	sumidura
pressentir	profetar
primado	qualidade
amolgado	amossado
encobardar-se	intimidar-se
sacolejar	sururucar
ensoberbecer-se	intumescer-se
sacrificatório	sacrifical
burrificar-se	estultificar-se
desarmonioso	malsoante
espiróide	espiralado
torna	volta
quimono	quimão
desertar	sair
sugestionador	sugestionante
impassibilidade	indiferença
elastério	elasticidade
tabilha	tabela
dúctil	flexível
mecha	pavio
torninho	torno
crucifixo	crucificado
brigador	brigante
encrava	enrascada
azucrinante	importuno
eximir-se	salvar-se
contra-indicado	desaconselhado
menor	mínimo
cavaleiro	sobranceiro
apropositado	pertinente
claro-escuro	fuscalvo
assolapador	solopador
interpretar	ter
terma	termas
copular-se	cruzar-se
cerealífero	colmífero
amochado	retraído
helcóide	helcóideo
desasar	tungar
ostensivo	transparente
papaguear	tagarelar
amanhecido	alvorecido
dedilhado	dedilhamento
abominoso	aborrecido
entreforro	entretela
precípuo	primeiro
piorado	agravado
encalvecer	escalvar
ensandecer	soçobrar
jactar-se	triunfar
arrendado	rendado
queda	tombo
aragem	bafejo
recobro	restauro
aplicadamente	seriamente
indício	toque
presa	despojo
rabado	caudado
bicórneo	bigorne
lúdicro	ridículo
turvejar	volver
esfrolar	raspar
flanquear	ladear
mal-estar	perturbação
piruetear	cabriolar
róscido	orvalhoso
engolidor	deglutidor
roçamento	roçadura
suspeita	teoria
assassínio	morticínio
ininterrupto	sucessivo
úmbrico	umbro
repreensível	reprovável
semeadoiro	semeadouro
entendível	inteligível
descompostura	zagunchada
condoimento	condolência
irisante	iriante
folclorístico	folclórico
tratar-se	viver
intransmissível	intransferível
vezo	rotina
transluzir-se	transverberar-se
contribuidor	contribuinte
aterrorizar	espavorir
galolátrico	francolátrico
embaciado	rofo
beira	vizinhança
afligidor	mortificativo
autoritário	sentencioso
intermediação	intermédio
meninota	molecota
durabilidade	solidez
tutora	tutriz
tísico	tuberculoso
aquátil	aqüígeno
amulherengar-se	efeminizar-se
entrebranco	exalviçado
novidade	originalidade
chegar-se	conformar-se
fulminação	perda
garganteio	trinado
alabama	caxeiro-viajante
lusófobo	lusitanófobo
finar-se	findar
pimponear	pimpar
pendular	pendulear
exorbitante	sobejo
mortiço	pálido
paráfrase	metáfrase
flectir-se	fletir-se
vinhedo	vinhal
caftenismo	lenocínio
pós-guerra	após-guerra
abalroada	colisão
amabilidade	meiguice
retenção	tardada
abridela	arreganho
eurístico	heurístico
inflexível	justiceiro
anemiar	consumir
almo	respeitável
escamífero	escamoso
cuspo	saliva
auxiliado	socorrido
anômalo	irregular
atormentador	acabrunhante
assobiante	assoviador
digladiar	triscar
irrespeitoso	desrespeitoso
guirlanda	grinalda
chicarola	endívia
desânimo	moleza
esburgador	esbrugador
mulher-do-fandango	prostituta
enlapado	refugiado
desconvencer-se	despersuadir-se
charlar	tartarear
ourar	ourejar
rodeado	cingido
derribador	derrubador
ilusivo	mentido
integralidade	plenitude
calada	silêncio
escoltar	seguir
retrilhar	sanfoninar
testemunhado	testificado
felicitação	parabéns
enfogar	ignificar
manita	maneta
gândara	gandra
comandante	dirigente
gabarito	nível
desarar	descompor
descoloração	deslavamento
guloseima	quitute
persigal	presepe
brigar	desconsentir
inanidade	superficialidade
desinquietador	desinquietante
rezingar	testilhar
pilhérico	faceto
abandonar-se	descurar-se
adscrever-se	limitar-se
aproveitar-se	favorecer-se
capangagem	jagunçada
chinela	sapateta
burlar	tapear
aromal	fragrante
favorecer-se	prevalecer-se
instrutor	didata
paleontólogo	paleontologista
prosápia	rebolaria
enfuriar	exaltar
tonificador	tonificante
tangibilidade	palpabilidade
genuíno	particular
rijamente	veementemente
aviventar	reanimar
radiestesia	radioestesia
bagana	bituca
joão-ninguém	zero
diretoria	diretorado
desentravado	destravado
instalado	albergado
faroleiro	lanterneiro
encurvadura	encurvamento
gradeamento	gradil
agaloar	enaltecer
viripotente	núbil
criminal	penal
nível	ponto
serpentina	candelabro
lacífero	laccífero
tomada	tomadia
copeiro	mordomo
perturbação	zonzeira
desiludido	desilusionado
voar	voltejar
comendatório	comendatício
veladura	velamento
aquarelado	aguarelado
remunerativo	remuneratório
adstringir-se	restringir-se
dolo	tábua
desquerer	maldiçoar
escavado	investigado
serpente	cobra
imediações	proximidades
barrigudo	ventrudo
impúbere	impubescente
corpudo	volumoso
vantajoso	útil
calcinado	carbonizado
empírico	experimental
representado	encenado
agastado	enraivecido
lantejoulante	lentejoilante
riste	reste
contrafeito	violentado
preconizar	veicular
melificar	melar
enfulijar	mascarrar
bitola	estalão
estrito	restrito
desembainhar	esfolhar
pexotada	pixotada
rebordosa	récipe
malgovernado	prodigalizador
envasilhar	enlouçar
admonitório	admoestatório
cortejador	galanteador
reimplante	reimplantação
despropósito	destampatório
volatim	acróbata
percebido	compreendido
mexer	saber
laceração	retalhamento
perturbativo	perturbatório
alarife	pirata
bulhão	rixador
cópia	traslado
avermelhar	purpurear
esfregadela	coçadura
disfarçar	solapar
desabastar	desprover
voluntariedade	embirra
desfavorecido	desvalido
intencional	premeditado
vistoria	busca
incriminar	recriminar
domínio	unha
comando	rédea
cama	leito
baixura	indignidade
tremelique	tremor
ativador	ativante
abonável	abonativo
esfolado	esfrolado
serva	ancila
essência	substância
transmissão	radiodifusão
desinsetado	desinsetizado
comunista	bolchevista
concisão	síntese
dedicante	dedicador
arcaístico	perempto
abaulamento	boleamento
créscimo	sobra
bizarria	gala
prosista	tarelo
cinta	precinto
afumado	tisnado
empreendimento	firma
eito	fila
traspassante	traspassador
torpemente	vilmente
amputar	cercear
emundar	perlavar
fanfarra	fanfarrice
estagnador	estagnante
atardado	atrasado
violação	quebramento
ereção	levantadura
amolecer-se	embrandecer-se
influente	macota
celsitude	excelsitude
abalamento	abalo
sonetar	sonetear
falho	lacunar
punhada	soco
inventor	artífice
cravelha	tramela
esgoto	exaustão
brilhante	fastoso
indefinição	vacilo
adicionar	enxertar
pistoleiro	sicário
inalheabilidade	inalienabilidade
gorgolhão	jacto
cabuloso	importuno
interestelar	interstelar
estrilar	estrondear
entanguido	entanguitado
mavioso	melieiro
veemência	viveza
acarrear	suscitar
desconcertado	embaraçado
malogro	mofina
cimentação	pavimentação
subscrição	assinatura
confeccionar	organizar
capar	mutilar
calvo	pelado
profusão	superabundância
espermegado	esparregado
bem-bom	comodidade
chispa	coruscação
pintainho	pipio
aprazado	procrastinado
enrascada	quê
lutulento	lameiroso
faltar	tropeçar
iniciativo	inicial
aprobatório	aprovativo
divisa	emblema
hemicíclico	semicircular
medievista	medievalista
costear	vaquejar
aguçadeira	amoladeira
prorromper-se	romper-se
atrapalhado	avoado
decendial	decendiário
garantir	resguardar
logrativo	trapaceador
madurar-se	sazonar-se
coroniforme	coronário
feltrudo	feltroso
desemastreado	desmastrado
aguar	lentar
significação	significado
espessar	inspissar
parelho	semelhante
pernoita	pernoitamento
expedir	transmitir
atril	leitoril
ubertoso	generoso
chocalheiro	intrigante
forró	gafieira
irresgatável	irremível
suscetibilizar-se	traumatizar-se
alcantil	precipício
angustiado	confrangido
decoração	ornamentação
sentinela	vigia
lustrar	palpitar
regelar	solidificar
amorfo	informe
refluir	regolfar
mentirosamente	simuladamente
apego	chamego
purgar	purificar
maçadiço	malhadiço
azulego	azulíneo
desentoado	discorde
quarador	quaradouro
mexer-se	remexer-se
fé	religiosidade
sedan	sedã
evaporizado	vaporizado
agarrado	fincado
profundamente	profundo
colóquio	conferência
ensoalheirado	ensolarado
horrendamente	horrorosamente
escupidor	estatuário
tipografar	imprimir
ungüinoso	untuoso
chã-de-dentro	pojadoiro
suspeitoso	suspicaz
intrometer	pôr
rodilho	trapo
ajustar-se	combinar-se
donoso	galhardo
obduração	teimosia
pitura	tabaco
defraudador	fraudador
colar-se	coser-se
checar	reverificar
capucho	insociável
varredura	varrido
verter-se	desaguar-se
fazendário	fazendal
saca-bocado	vazador
escoamento	escorrimento
marcante	saliente
enunciação	verbalização
eguariço	eqüícola
locupletamento	enriquecimento
revestir-se	sortir-se
planificado	projetado
reconciliabilidade	conciliabilidade
implacável	inabalável
sancadilha	travessa
entrechoque	atropelamento
quotidiano	rotineira
alfaiate	costureiro
esbugalhado	bugalhudo
coadura	filtramento
amontoamento	sobreposição
manteúdo	mantido
loucamente	perdidamente
encapelado	enfurecido
cólera-morbo	mordexim
desenvolver	vingar
redintegrar	restabelecer
sadio	salutar
adeusar	endeusar
acompridar-se	continuar-se
pitoco	súrio
tubozinho	túbulo
unipessoal	unipersonal
bebedor	cachaceiro
pacotilha	porcaria
zoológico	zôo
azulino	azurino
delicadamente	polidamente
unicamente	simplesmente
pintalgar-se	salpicar-se
táctica	tática
fraternização	irmanação
desembrutecer	humanizar
tesoura	tesoira
prontificar-se	oferecer-se
atracar	garrear
murmuração	parlatório
óbvio	patente
mortinatalidade	natimortalidade
condicionante	exceptiva
simpatia	sufrágio
tabicada	varada
chifre	corno
xabregano	franciscano
saneamento	desinfetação
aljava	carcás
nervo	pulso
fome	gana
desdenhativo	desdenhoso
tafulice	peralvilhice
politicômano	politicomaníaco
oviforme	ovóide
transumanar	humanar
imersão	soçobro
onanizar	masturbar
fototerapêutico	fototerápico
caída	resvalo
ascensão	elevação
encíclico	redondo
regelar-se	solidificar-se
subalternar	subalternizar
açodar-se	mexer-se
lutador	pugnador
engabelo	engambelo
transfazer-se	transubstanciar-se
turificação	incensamento
agrestice	incivilidade
concessor	dispensador
desencadeado	solto
sossego	tranqüilização
singularizar	individualizar
rejeição	reprovação
executor	verdugo
alfandegário	alfandegueiro
desindividualizar	generalizar
primordial	substancial
atiçamento	tentação
mortalidade	mortandade
estabilizar	fixar
esvaecimento	evaporação
desmembrar-se	separar-se
segnícia	segnície
soaberto	entreaberto
exibir	pôr
frechar	machucar
gracilidade	suavidade
teretiforme	cilindróide
amizade	amor
layout	leiaute
critério	roteiro
pé-de-vento	rajada
importante	macota
senhoraço	magnata
núncio	pregoeiro
desalmo	violento
secretamente	incógnito
dissaborado	sensabor
cicioso	sussurrejante
realizável	viável
chumbado	enchumbado
gárrulo	tagarela
acanhar-se	embaraçar-se
casamatar	encastelar
acordante	acorde
sobrecenho	tromba
galhofento	zombeteiro
chambre	roupão
curso	itinerário
transubstanciar	transvestir
assustar	aterrorizar
deslisar	turibular
demineralizar	desmineralizar
colecionar	reunir
rasteira	traição
dendriforme	dendromorfo
toireiro	tourista
atrevido	audaz
incorrutivo	justiçoso
granar	granular
escaroçador	descaroçador
recordatório	recordativo
premeditado	proposital
recapar	recauchutar
toiril	touril
encavernar	enlurar
excessivo	imódico
tareia	tosa
malquisto	malvisto
consolante	consolativo
salmear	salmodiar
escadeirado	esquadrilhado
galgaz	magro
alacridade	alegria
